"famunit","age","sex","educ","labforce","employed","retired","incwage","incss"
168,53,"woman","no_college","no","no","no",0,"NO"
169,70,"woman","college_plus","no","no","no",0,"YES"
170,20,"woman","some_college","yes","yes","no",3500,"NO"
171,19,"woman","some_college","no","no","no",0,"NO"
172,36,"woman","college_plus","yes","yes","no",55000,"NO"
173,48,"man","no_college","yes","yes","no",45000,"NO"
174,29,"man","some_college","no","no","no",3000,"NO"
175,21,"man","some_college","no","no","no",0,"NO"
176,83,"woman","college_plus","no","no","no",0,"YES"
177,53,"woman","no_college","yes","yes","no",23300,"NO"
178,29,"woman","no_college","yes","yes","no",25000,"NO"
179,24,"man","college_plus","yes","yes","no",40000,"NO"
180,79,"woman","some_college","no","no","no",0,"YES"
181,67,"woman","no_college","yes","yes","no",8000,"NO"
182,76,"woman","no_college","no","no","no",0,"YES"
183,66,"man","no_college","yes","yes","no",8500,"NO"
184,20,"woman","some_college","yes","yes","no",10000,"NO"
185,72,"man","college_plus","yes","yes","no",70000,"YES"
186,69,"man","college_plus","yes","yes","no",1200,"NO"
187,65,"woman","no_college","no","no","no",0,"YES"
188,38,"man","some_college","yes","no","no",60000,"NO"
189,55,"man","no_college","yes","yes","no",119000,"NO"
190,48,"woman","college_plus","yes","yes","no",95000,"NO"
191,60,"woman","no_college","yes","yes","no",14000,"NO"
192,94,"woman","no_college","no","no","no",0,"NO"
193,62,"woman","no_college","yes","yes","no",23000,"NO"
194,22,"woman","college_plus","yes","yes","no",30000,"NO"
195,88,"woman","no_college","no","no","no",0,"YES"
196,30,"woman","some_college","yes","yes","no",37000,"NO"
197,58,"woman","no_college","yes","yes","no",21900,"NO"
198,42,"woman","no_college","yes","yes","no",27700,"NO"
199,81,"man","no_college","no","no","no",0,"NO"
200,73,"woman","no_college","no","no","no",0,"YES"
201,50,"woman","no_college","yes","yes","no",14600,"NO"
202,83,"woman","some_college","no","no","no",0,"YES"
203,23,"man","some_college","yes","yes","no",12000,"NO"
204,43,"man","college_plus","yes","yes","no",0,"NO"
205,28,"woman","college_plus","yes","yes","no",76000,"NO"
206,77,"woman","college_plus","no","no","no",0,"YES"
207,23,"woman","some_college","yes","yes","no",4800,"NO"
208,93,"woman","some_college","no","no","no",0,"YES"
209,23,"woman","some_college","yes","yes","no",25000,"NO"
210,83,"woman","no_college","no","no","no",0,"YES"
211,22,"man","no_college","yes","yes","no",27000,"NO"
212,18,"man","some_college","no","no","no",4000,"NO"
213,93,"woman","no_college","no","no","no",0,"YES"
214,49,"man","college_plus","yes","yes","no",66000,"NO"
215,77,"woman","no_college","no","no","no",0,"YES"
216,36,"man","college_plus","yes","yes","no",20000,"NO"
217,50,"woman","college_plus","yes","no","no",2400,"NO"
218,79,"woman","college_plus","no","no","no",0,"YES"
219,13,"man","no_college",NA,NA,"no",NA,"YES"
220,59,"man","college_plus","yes","no","no",11200,"NO"
221,82,"woman","no_college","no","no","no",0,"YES"
222,38,"man","college_plus","yes","yes","no",89000,"NO"
223,60,"woman","college_plus","yes","yes","no",65000,"NO"
224,81,"man","college_plus","no","no","no",0,"YES"
225,54,"man","some_college","yes","yes","no",45000,"NO"
226,44,"man","college_plus","yes","yes","no",64000,"NO"
227,49,"woman","college_plus","yes","yes","no",53000,"NO"
228,47,"man","some_college","yes","yes","no",0,"NO"
229,54,"woman","no_college","yes","yes","no",16000,"NO"
230,31,"woman","no_college","yes","yes","no",20000,"NO"
231,88,"woman","no_college","no","no","no",0,"YES"
232,92,"man","no_college","no","no","no",0,"YES"
233,29,"woman","college_plus","yes","yes","no",60000,"NO"
234,37,"man","college_plus","yes","yes","no",55000,"NO"
235,53,"man","college_plus","yes","yes","no",51000,"NO"
236,59,"woman","college_plus","no","no","no",0,"YES"
237,60,"woman","college_plus","no","no","no",0,"NO"
238,54,"woman","no_college","yes","yes","no",120000,"NO"
239,46,"man","college_plus","yes","yes","no",80000,"NO"
240,19,"man","no_college","no","no","no",0,"NO"
241,55,"man","no_college","no","no","no",0,"NO"
242,25,"woman","some_college","yes","yes","no",32000,"NO"
243,20,"woman","some_college","yes","yes","no",4000,"NO"
244,41,"woman","no_college","yes","yes","no",42000,"NO"
245,79,"woman","no_college","no","no","no",0,"YES"
246,46,"man","some_college","no","no","no",0,"NO"
247,75,"woman","college_plus","no","no","no",0,"YES"
248,51,"man","no_college","yes","yes","no",22000,"NO"
249,59,"man","some_college","no","no","no",0,"YES"
250,28,"man","some_college","yes","yes","no",14000,"NO"
251,48,"woman","some_college","yes","yes","no",28000,"NO"
252,57,"man","college_plus","yes","yes","no",38000,"NO"
253,76,"man","no_college","no","no","no",0,"YES"
254,45,"woman","no_college","no","no","no",0,"NO"
255,64,"woman","some_college","no","no","no",0,"YES"
256,21,"woman","no_college","yes","yes","no",20000,"NO"
257,52,"woman","some_college","yes","yes","no",32000,"NO"
258,29,"woman","some_college","no","no","no",0,"NO"
259,20,"woman","some_college","no","no","no",1600,"NO"
260,88,"woman","no_college","no","no","no",0,"YES"
261,23,"man","no_college","yes","yes","no",21000,"NO"
262,50,"woman","college_plus","yes","yes","no",104000,"NO"
263,11,"man","no_college",NA,NA,"no",NA,"YES"
264,24,"man","college_plus","yes","no","no",0,"NO"
265,63,"man","some_college","no","no","no",0,"YES"
266,28,"man","no_college","no","no","no",16000,"NO"
267,29,"man","some_college","no","no","no",17000,"NO"
268,46,"woman","college_plus","no","no","no",0,"NO"
269,50,"man","no_college","no","no","no",0,"YES"
270,45,"man","no_college","yes","yes","no",16300,"NO"
271,35,"woman","no_college","no","no","no",10600,"NO"
272,28,"man","some_college","yes","yes","no",110000,"NO"
273,19,"man","no_college","no","no","no",0,"NO"
274,55,"man","no_college","yes","yes","no",25300,"NO"
275,52,"man","college_plus","yes","yes","no",84000,"NO"
276,60,"woman","no_college","yes","yes","no",26000,"NO"
277,43,"woman","no_college","no","no","no",0,"NO"
278,62,"woman","no_college","no","no","yes",22400,"NO"
279,57,"woman","some_college","yes","yes","no",36000,"NO"
280,8,"woman","no_college",NA,NA,"no",NA,"YES"
281,38,"man","no_college","yes","yes","no",0,"NO"
282,18,"man","some_college","no","no","no",700,"NO"
283,56,"man","no_college","yes","yes","no",30000,"NO"
284,55,"man","no_college","no","no","no",0,"NO"
285,3,"man","no_college",NA,NA,"no",NA,"YES"
286,49,"man","some_college","yes","yes","no",36000,"NO"
287,72,"man","college_plus","no","no","no",0,"YES"
288,48,"woman","some_college","yes","yes","no",10000,"NO"
289,77,"woman","college_plus","no","no","no",0,"YES"
290,25,"man","college_plus","yes","yes","no",73000,"NO"
291,59,"woman","some_college","no","no","no",0,"NO"
292,59,"man","some_college","yes","yes","no",17600,"NO"
293,34,"man","college_plus","yes","yes","no",43000,"NO"
294,28,"man","college_plus","yes","yes","no",31000,"NO"
295,72,"man","college_plus","no","no","no",0,"YES"
296,21,"man","some_college","yes","yes","no",9000,"NO"
297,92,"woman","no_college","no","no","no",0,"YES"
298,39,"woman","some_college","yes","yes","no",26600,"NO"
299,78,"man","some_college","no","no","no",0,"YES"
300,86,"woman","no_college","no","no","no",0,"YES"
301,45,"man","college_plus","yes","yes","no",90000,"NO"
302,68,"man","some_college","yes","yes","no",6400,"YES"
303,49,"woman","some_college","yes","yes","no",38000,"NO"
304,20,"man","no_college","no","no","no",0,"NO"
305,22,"woman","college_plus","yes","no","no",3000,"NO"
306,41,"man","some_college","yes","yes","no",62000,"NO"
307,40,"man","college_plus","yes","yes","no",0,"NO"
308,26,"man","no_college","yes","yes","no",7200,"NO"
309,74,"woman","no_college","no","no","no",0,"YES"
310,55,"man","college_plus","yes","yes","no",150000,"NO"
311,40,"man","no_college","yes","yes","no",40900,"NO"
312,27,"man","some_college","yes","yes","no",21000,"NO"
313,60,"man","college_plus","yes","yes","no",11000,"NO"
314,79,"woman","no_college","no","no","no",0,"YES"
315,23,"man","no_college","no","no","no",0,"NO"
316,63,"man","college_plus","no","no","no",0,"YES"
317,40,"woman","some_college","yes","yes","no",52000,"NO"
318,72,"woman","college_plus","no","no","yes",19600,"YES"
319,59,"woman","no_college","no","no","no",0,"NO"
320,20,"woman","no_college","no","no","no",0,"NO"
321,47,"woman","college_plus","no","no","no",0,"YES"
322,46,"man","no_college","yes","yes","no",4000,"NO"
323,76,"woman","no_college","no","no","no",0,"YES"
324,64,"man","college_plus","no","no","no",0,"YES"
325,27,"woman","some_college","yes","yes","no",16000,"NO"
326,27,"woman","college_plus","yes","yes","no",35000,"NO"
327,50,"man","some_college","yes","yes","no",95000,"NO"
328,94,"woman","no_college","no","no","no",0,"YES"
329,73,"woman","no_college","no","no","no",0,"YES"
330,27,"man","some_college","yes","yes","no",16000,"NO"
331,76,"woman","some_college","no","no","no",0,"YES"
332,65,"woman","no_college","no","no","no",0,"NO"
333,88,"man","no_college","no","no","no",0,"YES"
334,29,"man","college_plus","yes","yes","no",80000,"NO"
335,31,"man","no_college","yes","yes","no",25000,"NO"
336,21,"woman","some_college","no","no","no",0,"NO"
337,51,"man","college_plus","yes","yes","no",65000,"NO"
338,68,"woman","college_plus","no","no","no",0,"YES"
339,71,"woman","some_college","yes","yes","no",31200,"YES"
340,24,"man","no_college","yes","yes","no",43000,"NO"
341,40,"woman","no_college","no","no","no",0,"NO"
342,28,"man","no_college","no","no","no",0,"NO"
343,44,"man","some_college","yes","yes","no",63000,"NO"
344,69,"man","no_college","yes","yes","no",480,"YES"
345,67,"man","some_college","no","no","no",0,"YES"
346,23,"man","some_college","no","no","no",0,"NO"
347,36,"man","some_college","yes","yes","no",60000,"NO"
348,74,"woman","no_college","no","no","no",0,"YES"
349,46,"man","no_college","no","no","no",0,"NO"
350,45,"woman","college_plus","yes","yes","no",27000,"NO"
351,29,"woman","some_college","yes","yes","no",28200,"NO"
352,35,"woman","no_college","yes","yes","no",42000,"NO"
353,21,"man","some_college","no","no","no",0,"NO"
354,28,"man","college_plus","yes","no","no",0,"NO"
355,71,"woman","no_college","no","no","no",0,"YES"
356,69,"woman","some_college","no","no","no",0,"YES"
357,44,"woman","some_college","no","no","no",0,"NO"
358,80,"woman","no_college","no","no","no",0,"YES"
359,32,"man","some_college","yes","yes","no",40000,"NO"
360,22,"man","some_college","no","no","no",6000,"NO"
361,38,"man","no_college","no","no","no",11000,"NO"
362,21,"man","some_college","yes","yes","no",14700,"NO"
363,86,"man","no_college","no","no","no",0,"YES"
364,53,"man","no_college","no","no","no",0,"YES"
365,20,"woman","some_college","yes","yes","no",6500,"NO"
